"","YEAR","MONTH","MEAN_24HOUR","SEASON"
"1",2005,8,417.55,"Winter"
"2",2011,7,537.139534883721,"Winter"
"3",2005,5,543.785714285714,"Autumn"
"4",2012,6,549.052475247525,"Winter"
"5",2007,7,562.348375451264,"Winter"
"6",2012,7,569.10896898575,"Winter"
"7",2007,6,597.219417475728,"Winter"
"8",2012,8,612.499570077386,"Winter"
"9",2010,8,640.087719298246,"Winter"
"10",2006,7,652.992,"Winter"
"11",2011,6,672.432509505703,"Winter"
"12",2012,12,675.712311557789,"Summer"
"13",2006,12,676.173835125448,"Summer"
"14",2012,5,689.465094339623,"Autumn"
"15",2006,6,690.434903047091,"Winter"
"16",2010,12,691.527065527065,"Summer"
"17",2013,1,692.289682539683,"Summer"
"18",2009,7,699.383193277311,"Winter"
"19",2008,7,701.115732368897,"Winter"
"20",2012,9,702.442636289666,"Spring"
"21",2011,9,706.291666666667,"Spring"
"22",2011,12,708.817292006525,"Summer"
"23",2010,9,709.696269982238,"Spring"
"24",2007,8,712.909090909091,"Winter"
"25",2009,8,713.191150442478,"Winter"
"26",2009,6,715.762652705061,"Winter"
"27",2005,12,721.609561752988,"Summer"
"28",2011,8,725.925983037779,"Winter"
"29",2011,5,727.50193050193,"Autumn"
"30",2012,4,728.098859315589,"Autumn"
"31",2010,6,737.379537953795,"Winter"
"32",2008,8,749.70822622108,"Winter"
"33",2007,9,760.268518518518,"Spring"
"34",2010,7,771.950540958269,"Winter"
"35",2006,11,772.205555555556,"Spring"
"36",2011,10,773.871255060729,"Spring"
"37",2011,1,774.449032258065,"Summer"
"38",2012,1,777.063209076175,"Summer"
"39",2006,5,778.801075268817,"Autumn"
"40",2008,12,782.748427672956,"Summer"
"41",2007,5,784.696394686907,"Autumn"
"42",2008,6,790.304140127389,"Winter"
"43",2007,12,794.657640232108,"Summer"
"44",2012,11,796.844166666667,"Spring"
"45",2006,4,798.425595238095,"Autumn"
"46",2011,11,812.872456964006,"Spring"
"47",2009,9,813.517064846416,"Spring"
"48",2011,4,818.012239902081,"Autumn"
"49",2006,9,821.709134615385,"Spring"
"50",2007,1,830.551020408163,"Summer"
"51",2012,3,839.823195458232,"Autumn"
"52",2006,8,847.5,"Winter"
"53",2008,5,867.688391038697,"Autumn"
"54",2010,10,868.486988847584,"Spring"
"55",2011,2,873.505804311774,"Summer"
"56",2010,11,881.691228070175,"Spring"
"57",2012,10,885.298623063683,"Spring"
"58",2008,9,889.829420970266,"Spring"
"59",2009,5,898.057187017002,"Autumn"
"60",2008,3,911.215053763441,"Autumn"
"61",2006,10,913.756043956044,"Spring"
"62",2007,10,933.669793621013,"Spring"
"63",2010,5,935.417335473515,"Autumn"
"64",2009,4,941.008665511265,"Autumn"
"65",2012,2,941.784728610856,"Summer"
"66",2008,11,948.423676012461,"Spring"
"67",2007,11,957.4,"Spring"
"68",2009,12,961.963898916968,"Summer"
"69",2009,1,963.181959564541,"Summer"
"70",2007,4,966.519607843137,"Autumn"
"71",2011,3,969.326378539493,"Autumn"
"72",2007,3,978.584269662921,"Autumn"
"73",2006,1,979.502564102564,"Summer"
"74",2005,11,1003.55,"Spring"
"75",2008,1,1011.79588014981,"Summer"
"76",2008,4,1015.96310679612,"Autumn"
"77",2009,10,1042.58627087199,"Spring"
"78",2010,1,1055.52941176471,"Summer"
"79",2009,3,1057.25038639876,"Autumn"
"80",2007,2,1067.01785714286,"Summer"
"81",2008,10,1084.79742765273,"Spring"
"82",2008,2,1085.40040241449,"Summer"
"83",2009,11,1101.14260249554,"Spring"
"84",2010,4,1105.36746987952,"Autumn"
"85",2006,2,1115.42708333333,"Summer"
"86",2006,3,1136.60794044665,"Autumn"
"87",2009,2,1143.36541889483,"Summer"
"88",2010,3,1228.99236641221,"Autumn"
"89",2010,2,1327.39078156313,"Summer"
