"","YEAR","MONTH","LOCATION","MEAN_24HOUR","SEASON"
"1",2011,6,"Phillip Island Rd Path, Bass Coast Shire",17,"Winter"
"2",2011,7,"Phillip Island Rd Path, Bass Coast Shire",23.7096774193548,"Winter"
"3",2012,8,"Phillip Island Rd Path, Bass Coast Shire",25.1,"Winter"
"4",2012,7,"Phillip Island Rd Path, Bass Coast Shire",26.9677419354839,"Winter"
"5",2012,6,"Phillip Island Rd Path, Bass Coast Shire",28.9333333333333,"Winter"
"6",2012,5,"Phillip Island Rd Path, Bass Coast Shire",31.4642857142857,"Autumn"
"7",2011,8,"Phillip Island Rd Path, Bass Coast Shire",34.8,"Winter"
"8",2012,7,"Federation Trail, Hobsons Bay",37.1,"Winter"
"9",2011,9,"Phillip Island Rd Path, Bass Coast Shire",38.2413793103448,"Spring"
"10",2011,11,"Phillip Island Rd Path, Bass Coast Shire",38.2413793103448,"Spring"
"11",2011,7,"Federation Trail, Hobsons Bay",39.6451612903226,"Winter"
"12",2011,6,"Federation Trail, Hobsons Bay",41.8888888888889,"Winter"
"13",2012,9,"Phillip Island Rd Path, Bass Coast Shire",42.8666666666667,"Spring"
"14",2012,6,"Federation Trail, Hobsons Bay",43.9285714285714,"Winter"
"15",2012,10,"Phillip Island Rd Path, Bass Coast Shire",46.8666666666667,"Spring"
"16",2012,8,"Federation Trail, Hobsons Bay",47.9285714285714,"Winter"
"17",2011,10,"Phillip Island Rd Path, Bass Coast Shire",49.1,"Spring"
"18",2011,9,"Federation Trail, Hobsons Bay",51.8620689655172,"Spring"
"19",2012,5,"Federation Trail, Hobsons Bay",53.1428571428571,"Autumn"
"20",2012,11,"Phillip Island Rd Path, Bass Coast Shire",55.1,"Spring"
"21",2011,8,"Federation Trail, Hobsons Bay",56.0322580645161,"Winter"
"22",2012,3,"Phillip Island Rd Path, Bass Coast Shire",61.2857142857143,"Autumn"
"23",2012,4,"Phillip Island Rd Path, Bass Coast Shire",61.3103448275862,"Autumn"
"24",2012,9,"Federation Trail, Hobsons Bay",61.4666666666667,"Spring"
