"","YEAR","HOLIDAYS","MEAN_24HOUR"
"1",2006,"Christmas",58.7777777777778
"2",2012,"Anzac Day",125.6875
"3",2012,"Christmas",160.166666666667
"4",2011,"Boxing Day",228.175
"5",2006,"Boxing Day",235.5
"6",2009,"Christmas",236.277777777778
"7",2010,"Christmas",259.74
"8",2008,"Christmas",277.095238095238
"9",2007,"Christmas",278
"10",2012,"New Year",282.051948051948
"11",2011,"Christmas",308.2
"12",2007,"Queens Birthday",314.333333333333
"13",2008,"New Year",320.9375
"14",2009,"New Year",356.142857142857
"15",2013,"New Year",365.416666666667
"16",2010,"New Year",389.277777777778
"17",2012,"Boxing Day",395.166666666667
"18",2012,"Queens Birthday",406.333333333333
"19",2009,"Queens Birthday",434.15
"20",2005,"Christmas",450.84
"21",2011,"New Year",467.26
"22",2009,"Anzac Day",476.428571428571
"23",2008,"Queens Birthday",487.227272727273
"24",2010,"Boxing Day",488.16
"25",2008,"Boxing Day",490.52380952381
"26",2012,"Easter",491.869955156951
"27",2006,"Queens Birthday",500
"28",2011,"Easter",506.711764705882
"29",2011,"Queens Birthday",513.676470588235
"30",2007,"New Year",583.111111111111
"31",2006,"Australia Day",590.571428571429
"32",2011,"Melbourne Cup",597.365853658537
"33",2010,"Melbourne Cup",612.947368421053
"34",2006,"Melbourne Cup",621.083333333333
"35",2012,"Melbourne Cup",633.477611940299
"36",2010,"Labour Day",645.5
"37",2011,"School Holidays",671.440366972477
"38",2011,"Anzac Day",671.941176470588
"39",2008,"Melbourne Cup",688.25
"40",2005,"School Holidays",693.590361445783
"41",2012,"School Holidays",699.493392070485
"42",2009,"Boxing Day",706.972222222222
"43",2010,"Queens Birthday",707.333333333333
"44",2013,"School Holidays",708.633333333333
"45",2006,"Easter",715.929577464789
"46",2008,"Easter",724.421686746988
"47",2011,"Australia Day",726.04
"48",2007,"School Holidays",740.953029271613
"49",2006,"New Year",754.653846153846
"50",2012,"Non-holiday",755.860984773581
"51",2011,"Non-holiday",774.152057436777
"52",2005,"Boxing Day",778.416666666667
"53",2012,"Labour Day",778.880952380952
"54",2006,"Labour Day",785.5
"55",2008,"Labour Day",787.0625
"56",2007,"Boxing Day",789.882352941176
"57",2010,"School Holidays",806.389450867052
"58",2012,"Australia Day",809.55
"59",2005,"Non-holiday",831.819672131148
"60",2010,"Anzac Day",836.631578947368
"61",2008,"School Holidays",840.030051150895
"62",2009,"School Holidays",840.316920943135
"63",2006,"Non-holiday",846.702049985959
"64",2007,"Non-holiday",850.710176509043
"65",2009,"Easter",855.738095238095
"66",2006,"School Holidays",878.177335640138
"67",2007,"Tunnel",912.444444444444
"68",2007,"Labour Day",926.333333333333
"69",2008,"Non-holiday",927.005507026206
"70",2011,"Labour Day",933.913043478261
"71",2010,"Non-holiday",934.521655065739
"72",2007,"Melbourne Cup",945
"73",2009,"Australia Day",950.333333333333
"74",2007,"Easter",950.735294117647
"75",2009,"Non-holiday",951.825889477668
"76",2009,"Melbourne Cup",966.394736842105
"77",2008,"Australia Day",969.8
"78",2008,"Anzac Day",1006.46666666667
"79",2010,"Easter",1039.88095238095
"80",2006,"Anzac Day",1142.41666666667
"81",2010,"Australia Day",1189.27777777778
"82",2007,"Australia Day",1192.22222222222
"83",2009,"Labour Day",1228.71428571429
"84",2007,"Anzac Day",1604.05882352941
