"","YEAR","LOCATION","MEAN_24HOUR"
"1",2011,"Phillip Island Rd Path, Bass Coast Shire",43.4088397790055
"2",2012,"Phillip Island Rd Path, Bass Coast Shire",54.5767045454545
"3",2011,"Federation Trail, Hobsons Bay",56.6947368421053
"4",2012,"Federation Trail, Hobsons Bay",63.7017045454545
"5",2013,"Federation Trail, Hobsons Bay",98.0476190476191
"6",2010,"Anniversary Trail No.2 Kew",101.213636363636
"7",2006,"Anniversary Trail No.2 Kew",105.85
"8",2007,"Anniversary Trail No.2 Kew",108.91061452514
"9",2011,"Anniversary Trail No.2 Kew",115.492957746479
"10",2012,"Anniversary Trail No.2 Kew",117.529411764706
"11",2008,"Anniversary Trail No.2 Kew",118.406162464986
"12",2009,"Anniversary Trail No.2 Kew",120.936329588015
"13",2013,"Phillip Island Rd Path, Bass Coast Shire",160.761904761905
"14",2009,"Scotchmans Creek Trail",169.073033707865
"15",2011,"Scotchmans Creek Trail",171.145658263305
"16",2010,"Scotchmans Creek Trail",172.485632183908
"17",2008,"Scotchmans Creek Trail",174.582938388626
"18",2012,"Scotchmans Creek Trail",176.348623853211
"19",2006,"Scotchmans Creek Trail",186.338709677419
"20",2007,"Scotchmans Creek Trail",203.464705882353
"21",2006,"St Georges Road No.2",212.387387387387
"22",2005,"Anniversary Trail No.1",219.3
"23",2007,"St Georges Road No.2",228.977715877437
"24",2010,"Flemington Rd NW Bound Lane",229.97619047619
"25",2010,"Flemington Rd SE Bound Lane",229.97619047619
"26",2006,"Anniversary Trail No.1",253.647058823529
"27",2010,"Anniversary Trail No.1",264.15625
"28",2011,"Anniversary Trail No.1",266.29014084507
"29",2007,"Anniversary Trail No.1",269.670391061453
"30",2008,"Anniversary Trail No.1",275.572625698324
"31",2009,"Anniversary Trail No.1",281.494382022472
"32",2008,"St Georges Road No.2",288.257703081232
"33",2012,"Anniversary Trail No.1",289.680981595092
"34",2011,"Flemington Rd NW Bound Lane",300.194915254237
"35",2011,"Flemington Rd SE Bound Lane",300.194915254237
"36",2011,"Merri Creek Trail, Moreland City",311.212290502793
"37",2010,"Main Yarra Trail No.1",314.28125
"38",2011,"Brighton Rd N Bound Lane",314.448
"39",2011,"Brighton Rd S Bound Lane",314.448
"40",2012,"Brighton Rd N Bound Lane",323.065182829889
